Nombre de Propiedad,Etiqueta,Tipo,Grupo,Descripción
acta_de_fallecimiento,Acta de Fallecimiento,string,contact_activity,
acta_de_matrimonio,Acta de matrimonio,string,contact_activity,
acta_de_nacimiento,Acta de nacimiento,string,contactinformation,
address,Street Address,string,contactinformation,"Contact's street address, including apartment or unit number."
aircall_contact_owner_email,Correo del Propietario del Contacto Aircall,string,aircall,Correo electrónico del propietario del contacto de Aircall
aircall_last_call_at,Last Aircall call timestamp,datetime,aircall,Date and time of last Aircall call
aircall_last_sms_at,Last Aircall SMS timestamp,datetime,aircall,Date and time of last Aircall sms
aircall_last_sms_direction,Last Aircall SMS direction,string,aircall,SMS direction
al_marcar_esta_casilla__autorizo_a_coopebanacio_a_realizar_el_rebajo_de_planilla_segun_las_opciones,"Al marcar esta casilla, autorizo a Coopebanacio a realizar el rebajo de planilla según las opciones elegidas en este formulario para efectuar la donación a Obras del Espíritu Santo a mi nombre.",enumeration,contactinformation,"Disclaimer donación obras del espiritu santo, octubre 24"
annualrevenue,Annual Revenue,string,contactinformation,Annual company revenue
ano_del_vehiculo,Año del vehículo,number,deal_information,
apellidos_de_quien_refiere,Apellidos de quien refiere,string,contactinformation,Apellidos de quien refiere a afiliarse
apellidos_del_referido,Apellidos del referido,string,contactinformation,Apellidos del referido a asociarse
associatedcompanyid,Primary Associated Company ID,number,contactinformation,HubSpot defined ID of a contact's primary associated company in HubSpot.
associatedcompanylastupdated,Associated Company Last Updated,number,contactinformation,"This field is meaningless on its own, and is solely used for triggering dynamic list updates when a company is updated"
cantidad_de_hijos,Cantidad de Hijos,number,contactinformation,
canton,Cantón,string,contactinformation,
carta_disponibilidad_de_servicios_publicos,Carta disponibilidad de servicios públicos,string,deal_information,
cedula_de_quien_refiere,Cédula de quien refiere,number,contactinformation,
cedula_del_referido,Cédula del referido,number,contactinformation,Cédula del referido
cedula_del_representante_legal,Cédula del representante legal,string,deal_information,
certificacion_de_deuda,Certificación de deuda,string,deal_information,
certificacion_de_impuestos_municipales,Certificación de impuestos municipales,string,deal_information,
certificacion_de_la_situacion_especial,Certificación de la situación especial,string,contact_activity,
certificacion_personeria_juridica,Certificación personería jurídica,string,deal_information,
certificado_de_adopcion,Certificado de Adopción,string,contactinformation,
city,City,string,contactinformation,A contact's city of residence
closedate,Close Date,datetime,deal_information,Date the  contact  became  a  customer. Set automatically when a deal or opportunity is marked as closed-won. It can also be set manually or programmatically.
comentarios,Comentarios,string,deal_information,
como_desea_realizar_su_donacion_,¿Cómo desea realizar su donación?,enumeration,deal_information,"Monto de donación obras del espiritu santo, campaña noviembre 2024"
company,Company Name,string,contactinformation,Name of the contact's company. This can be set independently from the name property on the contact's associated company.
company_size,Company size,string,facebook_ads_properties,Contact's company size. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.
con_ahorro,Con Ahorro,enumeration,contactinformation,
con_ahorro_con_proposito,Con Ahorro con Propósito,enumeration,contactinformation,
con_ahorro_economias,Con Ahorro Economías,enumeration,contactinformation,
con_ahorro_fondo_de_inversion,Con Ahorro Fondo de Inversión,enumeration,contactinformation,
con_ahorro_navideno,Con Ahorro Navideño,enumeration,contactinformation,
con_ahorro_plan_aguinaldo,Con Ahorro Plan Aguinaldo,enumeration,contactinformation,
con_ahorro_plan_bono_escolar,Con Ahorro Plan Bono Escolar,enumeration,contactinformation,
con_ahorro_plan_futuro,Con Ahorro Plan Futuro,enumeration,contactinformation,
con_ahorro_plan_vacacional,Con Ahorro Plan Vacacional,enumeration,contactinformation,
con_cesantia,Con Cesantía,enumeration,contactinformation,
con_cip,Con CIP,enumeration,contactinformation,
con_cred__adelanto_de_pension,Con Cred. Adelanto de Pensión,enumeration,contactinformation,
con_cred__back_to_back,Con Cred. Back to Back,enumeration,contactinformation,
con_cred__capital_social,Con Cred. Capital Social,enumeration,contactinformation,
con_cred__capitalizable_3,Con Cred. Capitalizable 3,enumeration,contactinformation,
con_cred__consumo_personal,Con Cred. Consumo Personal,enumeration,contactinformation,
con_cred__deuda_unica,Con Cred. Deuda Única,enumeration,contactinformation,
con_cred__especial_al_vencimiento,Con Cred. Especial al Vencimiento,enumeration,contactinformation,
con_cred__facilito,Con Cred. Facilito,enumeration,contactinformation,
con_cred__multiuso,Con Cred. Multiuso,enumeration,contactinformation,
con_cred__refuncion_2,Con Cred. Refunción 2,enumeration,contactinformation,
con_cred__refundicion_de_pasivos,Con Cred. Refundición de Pasivos,enumeration,contactinformation,
con_cred__salud,Con Cred. Salud,enumeration,contactinformation,
con_cred__tecnologico,Con Créd. Tecnológico,enumeration,contactinformation,
con_cred__vehiculo_nuevos,Con Cred. Vehículo Nuevos,enumeration,contactinformation,
con_cred__vivienda_constructivo,Con Cred. Vivienda Constructivo,enumeration,contactinformation,
con_cred__vivienda_cooperativa,Con Cred. Vivienda Cooperativa,enumeration,contactinformation,
con_cred_vivienda_patrimonial,Con Cred Vivienda Patrimonial,enumeration,contactinformation,
con_credifacil,Con Credifacil,enumeration,contactinformation,
con_credito,Con Crédito,enumeration,contactinformation,
con_plan_fin_de_ano,Con Plan Fin de Año,enumeration,contactinformation,
con_poliza_colectiva,Con Póliza Colectiva,enumeration,contactinformation,
con_seg__apoyo_funerario,Con Seg. Apoyo Funerario,enumeration,contactinformation,
con_seg__su_vida,Con Seg. Su Vida,enumeration,contactinformation,
con_seguro,Con Seguro,enumeration,contactinformation,
confirmacion_reglamento,Confirmación Reglamento,enumeration,conversioninformation,
country,Country/Region,string,contactinformation,"The contact's country/region of residence. This might be set via import, form, or integration."
createdate,Create Date,datetime,contactinformation,The date that a contact entered the system
cronograma_de_desembolsos_de_construccion,Cronograma de desembolsos de construcción,string,deal_information,
currentlyinworkflow,Currently in workflow (discontinued),enumeration,contact_activity,True when contact is enrolled in a workflow.
date_of_birth,Fecha de nacimiento,date,facebook_ads_properties,La fecha de nacimiento de un contacto. Esta propiedad es necesaria para la integración de Anuncios de Facebook. Esta propiedad se sincronizará automáticamente desde la herramienta de Anuncios de Leads.
days_to_close,Days To Close,number,deal_information,Count of days elapsed between creation and being closed as a customer. Set automatically.
deduccion_quincenal_en__,Deducción quincenal en ¢,number,contactinformation,
deduccion_semanal_en__,Deducción semanal en ¢,number,contactinformation,
degree,Degree,string,facebook_ads_properties,Contact's degree. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.
detalles_de_la_direccion,Detalles de la dirección,string,contactinformation,
distrito,Distrito,string,contactinformation,
documento_que_compruebe_la_afectacion,Documento que compruebe la afectación,string,contact_activity,
dorso_cedula_de_identidad,Dorso cédula de identidad,string,contactinformation,
dorso_cedula_de_identidad_del_beneficiario_1,Dorso Cédula de identidad del beneficiario 1,string,contact_activity,
dorso_cedula_de_identidad_del_conyuge,Dorso Cédula de identidad del cónyuge,string,contact_activity,
dorso_cedula_del_familiar_fallecido,Dorso Cédula del familiar fallecido,string,contact_activity,
dorso_cedula_del_vendedor,Dorso cédula del vendedor,string,deal_information,
el_familiar_fallecido_enfrentaba_alguna_condicion_especial_,¿El familiar fallecido enfrentaba alguna condición especial?,enumeration,contactinformation,
el_vehiculo_posee_credito_prendario_activo___,¿El vehículo posee crédito prendario activo? *,enumeration,deal_information,
el_vehiculo_se_encuentra_en_proceso_de_traspaso_,¿El vehículo se encuentra en proceso de traspaso?,enumeration,deal_information,
elija_tipo_de_situacion,Elija tipo de situación,enumeration,contactinformation,
email,Email,string,contactinformation,A contact's email address
engagements_last_meeting_booked,Date of last meeting booked in meetings tool,datetime,contact_activity,"The date of the last meeting that has been scheduled by a contact through the meetings tool. If multiple meetings have been scheduled, the date of the last chronological meeting in the timeline is shown."
engagements_last_meeting_booked_campaign,Campaign of last booking in meetings tool,string,contact_activity,UTM parameter for marketing campaign (e.g. a specific email) responsible for recent meeting booking. Only populated when tracking parameters are included in meeting link.
engagements_last_meeting_booked_medium,Medium of last booking in meetings tool,string,contact_activity,UTM parameter for the channel (e.g. email)  responsible for most recent meeting booking. Only populated when tracking parameters are included in meeting link.
engagements_last_meeting_booked_source,Source of last booking in meetings tool,string,contact_activity,UTM parameter for the site (e.g. Twitter) responsible for most recent meeting booking. Only populated when tracking parameters are included in meeting link.
estado_civil,Estado civil,enumeration,contactinformation,
estado_del_asociado,Estado del Asociado,enumeration,contactinformation,
estudio_emitido_por_el_delegado,Estudio emitido por el delegado,string,contactinformation,
factura_proforma_del_vehiculo,Factura proforma del vehículo,string,deal_information,
facturas,Facturas,string,contact_activity,
fax,Fax Number,string,contactinformation,A contact's primary fax number
fecha_de_tu_ingreso,Fecha de tu ingreso,date,contactinformation,
field_of_study,Field of study,string,facebook_ads_properties,Contact's field of study. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.
first_conversion_date,First Conversion Date,datetime,contact_activity,Date  this  contact  first  submitted  a  form.
first_conversion_event_name,First Conversion,string,contact_activity,First form this contact submitted.
first_deal_created_date,First Deal Created Date,datetime,deal_information,Date first deal was created for contact. Set automatically.
firstname,First Name,string,contactinformation,A contact's first name
followercount,Follower Count,number,socialmediainformation,The number of Twitter followers a contact has
formulario_de_administracion_de_cesantia,Formulario de administración de Cesantía,string,contact_activity,
formulario_de_credito,Formulario de crédito,string,deal_information,
formulario_seguro_colectivo_tiempo,Formulario Seguro Colectivo Tiempo,string,contactinformation,
fotografias_del_evento_o_incidente,Fotografías del evento o incidente,string,contact_activity,
frente_cedula_de_identidad,Frente cédula de identidad,string,contactinformation,
frente_cedula_de_identidad_del_beneficiario_1,Frente Cédula de identidad del beneficiario 1,string,contact_activity,
frente_cedula_de_identidad_del_conyuge,Frente Cédula de identidad del cónyuge,string,contact_activity,
frente_cedula_del_familiar_fallecido,Frente Cédula del familiar fallecido,string,contactinformation,
frente_cedula_del_vendedor,Frente cédula del vendedor,string,deal_information,
gender,Gender,string,facebook_ads_properties,Contact's gender. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.
graduation_date,Graduation date,string,facebook_ads_properties,Contact's graduation date. Required for the Facebook Ads Integration. Automatically synced from the Lead Ads tool.
hs_additional_emails,Additional email addresses,enumeration,contactinformation,A set of additional email addresses for a contact
hs_all_accessible_team_ids,All teams,enumeration,contactinformation,"The team IDs, including the team hierarchy, of all default and custom owner properties for this record."
hs_all_assigned_business_unit_ids,Brands,enumeration,contactinformation,The brands this record is assigned to.
hs_all_contact_vids,All vids for a contact,enumeration,contactinformation,"A set of all vids, canonical or otherwise, for a contact"
hs_all_owner_ids,All owner IDs,enumeration,contactinformation,Values of all default and custom owner properties for this record.
hs_all_team_ids,All team IDs,enumeration,contactinformation,The team IDs of all default and custom owner properties for this record.
hs_analytics_average_page_views,Average Pageviews,number,analyticsinformation,Average number of pageviews per session for this contact. Set automatically.
hs_analytics_first_referrer,First Referring Site,string,analyticsinformation,URL that referred the contact to your website. Set automatically.
hs_analytics_first_timestamp,Time First Seen,datetime,analyticsinformation,First time the contact has been seen. Set automatically.
hs_analytics_first_touch_converting_campaign,First Touch Converting Campaign,string,analyticsinformation,Campaign responsible for the first touch creation of this contact.
hs_analytics_first_url,First Page Seen,string,analyticsinformation,First page the contact visited on your website. Set automatically.
hs_analytics_first_visit_timestamp,Time of First Session,datetime,analyticsinformation,First time the contact visited your website. Set automatically.
hs_analytics_last_referrer,Last Referring Site,string,analyticsinformation,Last URL that referred contact to your website. Set automatically.
hs_analytics_last_timestamp,Time Last Seen,datetime,analyticsinformation,Timestamp for most recent webpage view on your website.
hs_analytics_last_touch_converting_campaign,Last Touch Converting Campaign,string,analyticsinformation,Campaign responsible for the last touch creation of this contact.
hs_analytics_last_url,Last Page Seen,string,analyticsinformation,Last page the contact visited on your website. Set automatically.
hs_analytics_last_visit_timestamp,Time of Last Session,datetime,analyticsinformation,Timestamp for start of the most recent session for this contact to your website.
hs_analytics_num_event_completions,Number of event completions,number,analyticsinformation,Total number of events for this contact. Set automatically.
hs_analytics_num_page_views,Number of Pageviews,number,analyticsinformation,Total number of page views this contact has had on your website. Set automatically.
hs_analytics_num_visits,Number of Sessions,number,analyticsinformation,Number of times a contact has come to your website. Set automatically.
